ID,GDT_TS
0c1_t00000001_0000001_0,0.96635
0c1_t00000001_0000002_0,0.96875
0c1_t00000001_0000003_0,0.97356
0c1_t00000001_0000004_0,0.96875
0c1_t00000001_0000005_1,0.96635
0c1_t00000001_0000006_0,0.96154
0c1_t00000001_0000007_0,0.96635
0c1_t00000001_0000008_0,0.97115
0c1_t00000001_0000009_0,0.97596
0c1_t00000001_0000010_0,0.97596
0c1_t00000001_0000011_0,0.96875
0c1_t00000001_0000012_0,0.96875
0c1_t00000001_0000013_0,0.96875
0c1_t00000001_0000014_0,0.96635
0c1_t00000001_0000015_0,0.97115
0c1_t00000001_0000016_0,0.97596
0c1_t00000001_0000017_0,0.97115
0c1_t00000001_0000018_1,0.97115
0c1_t00000001_0000019_0,0.96394
0c1_t00000001_0000020_0,0.98077
0c1_t00000001_0000021_0,0.97115
0c1_t00000001_0000022_0,0.9783700000000001
0c1_t00000001_0000023_0,0.97115
0c1_t00000001_0000024_0,0.96875
0c1_t00000001_0000025_0,0.97115
0c1_t00000001_0000026_0,0.98077
0c1_t00000001_0000027_0,0.97596
0c1_t00000001_0000028_0,0.96875
0c1_t00000001_0000029_0,0.96154
0c1_t00000001_0000030_0,0.97356
0c1_t00000001_0000031_0,0.97596
0c1_t00000001_0000032_0,0.97356
0c1_t00000001_0000033_0,0.9831699999999999
0c1_t00000001_0000034_0,0.96875
0c1_t00000001_0000035_0,0.97115
0c1_t00000001_0000036_0,0.96875
0c1_t00000001_0000037_0,0.96875
0c1_t00000001_0000038_0,0.97596
0c1_t00000001_0000039_0,0.97356
0c1_t00000001_0000040_0,0.97596
0c1_t00000001_0000041_0,0.97115
0c1_t00000001_0000042_0,0.98077
0c1_t00000001_0000043_0,0.97115
0c1_t00000001_0000044_1,0.98077
0c1_t00000001_0000045_0,0.96875
0c1_t00000001_0000046_0,0.97356
0c1_t00000001_0000047_1,0.9783700000000001
0c1_t00000001_0000048_0,0.9783700000000001
0c1_t00000001_0000049_0,0.96875
0c1_t00000001_0000050_0,0.97356
0c1_t00000001_0000051_0,0.96635
0c1_t00000001_0000052_0,0.97356
0c1_t00000001_0000054_0,0.96875
0c1_t00000001_0000055_0,0.9855800000000001
0c1_t00000001_0000056_0,0.97356
0c1_t00000001_0000057_0,0.96635
0c1_t00000001_0000058_0,0.97356
0c1_t00000001_0000059_1,0.97115
0c1_t00000001_0000060_0,0.9783700000000001
0c1_t00000001_0000061_0,0.9855800000000001
0c1_t00000001_0000062_0,0.97356
0c1_t00000001_0000063_0,0.96635
0c1_t00000001_0000064_0,0.9855800000000001
0c1_t00000001_0000065_0,0.9783700000000001
0c1_t00000001_0000066_0,0.96154
0c1_t00000001_0000067_1,0.97356
0c1_t00000001_0000068_1,0.97115
0c1_t00000001_0000069_0,0.97596
0c1_t00000001_0000070_0,0.96154
0c1_t00000001_0000071_0,0.97115
0c1_t00000001_0000072_0,0.97596
0c1_t00000001_0000073_0,0.9783700000000001
0c1_t00000001_0000074_0,0.97356
0c1_t00000001_0000075_0,0.96394
0c1_t00000001_0000076_0,0.96875
0c1_t00000001_0000077_0,0.97596
0c1_t00000001_0000078_0,0.96635
0c1_t00000001_0000079_0,0.97115
0c1_t00000001_0000080_0,0.98077
0c1_t00000001_0000082_1,0.97356
0c1_t00000001_0000083_1,0.97356
0c1_t00000001_0000084_1,0.97115
0c1_t00000001_0000085_0,0.97596
0c1_t00000001_0000086_0,0.97115
0c1_t00000001_0000087_0,0.98077
0c1_t00000001_0000088_0,0.97356
0c1_t00000001_0000089_1,0.97115
0c1_t00000001_0000090_0,0.9831699999999999
0c1_t00000001_0000091_0,0.96394
0c1_t00000001_0000092_0,0.97596
0c1_t00000001_0000093_0,0.97115
0c1_t00000001_0000094_0,0.97596
0c1_t00000001_0000095_1,0.9855800000000001
0c1_t00000001_0000096_0,0.97596
0c1_t00000001_0000097_0,0.96394
0c1_t00000001_0000098_1,0.97115
0c1_t00000001_0000099_1,0.97356
0c1_t00000001_0000100_0,0.96875
0c1_t00000001_0000101_0,0.97596
0c1_t00000001_0000102_0,0.9783700000000001
0c1_t00000001_0000103_0,0.96875
0c1_t00000001_0000104_0,0.97356
0c1_t00000001_0000105_0,0.96875
0c1_t00000001_0000106_0,0.97596
0c1_t00000001_0000107_0,0.9591299999999999
0c1_t00000001_0000108_0,0.97115
0c1_t00000001_0000109_0,0.97115
0c1_t00000001_0000110_1,0.9783700000000001
0c1_t00000001_0000111_0,0.96394
0c1_t00000001_0000112_0,0.9591299999999999
0c1_t00000001_0000113_0,0.97115
0c1_t00000001_0000114_0,0.97115
0c1_t00000001_0000115_0,0.98077
0c1_t00000001_0000116_0,0.97115
0c1_t00000001_0000117_0,0.96875
0c1_t00000001_0000118_0,0.98077
0c1_t00000001_0000119_0,0.9783700000000001
0c1_t00000001_0000120_0,0.97356
0c1_t00000001_0000121_0,0.97356
